time,device_id,device_name,capability,attribute,current_value,is_changed,is_attack,Orignal Value
2019-06-07 6:45:28,fd204ba2-162c-40d8-a873-6aa121db7434,Lamp,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,,online
2019-06-07 7:18:40,e9916142-d9fd-4c26-9650-520220ab84b2,Kettle,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,,online
2019-06-07 7:18:40,e9916142-d9fd-4c26-9650-520220ab84b2,Kettle,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,,online
2019-06-07 7:45:28,fd204ba2-162c-40d8-a873-6aa121db7434,Lamp,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,,online
2019-06-07 7:45:28,fd204ba2-162c-40d8-a873-6aa121db7434,Lamp,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,,online
2019-06-07 8:18:40,e9916142-d9fd-4c26-9650-520220ab84b2,Kettle,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,,online
2019-06-07 8:18:40,e9916142-d9fd-4c26-9650-520220ab84b2,Kettle,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,,online
2019-06-07 8:45:28,fd204ba2-162c-40d8-a873-6aa121db7434,Lamp,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,,online
2019-06-07 8:45:28,fd204ba2-162c-40d8-a873-6aa121db7434,Lamp,healthCheck,DeviceWatch-DeviceStatus,online,TRUE,,online
2019-06-07 8:59:40,98a0ad45-fdb9-4688-a838-e8830a564cfa,Door contact sensor,contactSensor,contact,open,TRUE,,open
2019-06-07 8:59:44,98a0ad45-fdb9-4688-a838-e8830a564cfa,Door contact sensor,threeAxis,threeAxis,Array,TRUE,,Array
2019-06-07 8:59:44,98a0ad45-fdb9-4688-a838-e8830a564cfa,Door contact sensor,accelerationSensor,acceleration,active,TRUE,,active
2019-06-07 8:59:45,98a0ad45-fdb9-4688-a838-e8830a564cfa,Door contact sensor,threeAxis,threeAxis,Array,TRUE,,Array
2019-06-07 8:59:46,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,active,TRUE,,active
2019-06-07 8:59:46,98a0ad45-fdb9-4688-a838-e8830a564cfa,Door contact sensor,threeAxis,threeAxis,Array,TRUE,,Array
2019-06-07 8:59:47,98a0ad45-fdb9-4688-a838-e8830a564cfa,Door contact sensor,threeAxis,threeAxis,Array,TRUE,,Array
2019-06-07 8:59:57,98a0ad45-fdb9-4688-a838-e8830a564cfa,Door contact sensor,accelerationSensor,acceleration,inactive,TRUE,,inactive
2019-06-07 9:00:00,98a0ad45-fdb9-4688-a838-e8830a564cfa,Door contact sensor,accelerationSensor,acceleration,active,TRUE,,active
2019-06-07 9:00:00,98a0ad45-fdb9-4688-a838-e8830a564cfa,Door contact sensor,threeAxis,threeAxis,Array,TRUE,,Array
2019-06-07 9:00:01,98a0ad45-fdb9-4688-a838-e8830a564cfa,Door contact sensor,threeAxis,threeAxis,Array,TRUE,,Array
2019-06-07 9:00:03,98a0ad45-fdb9-4688-a838-e8830a564cfa,Door contact sensor,threeAxis,threeAxis,Array,TRUE,,Array
2019-06-07 9:00:04,98a0ad45-fdb9-4688-a838-e8830a564cfa,Door contact sensor,threeAxis,threeAxis,Array,TRUE,,Array
2019-06-07 9:00:04,98a0ad45-fdb9-4688-a838-e8830a564cfa,Door contact sensor,contactSensor,contact,closed,TRUE,,closed
2019-06-07 9:00:13,98a0ad45-fdb9-4688-a838-e8830a564cfa,Door contact sensor,accelerationSensor,acceleration,inactive,TRUE,,inactive
2019-06-07 9:00:14,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,inactive,TRUE,,inactive
2019-06-07 9:04:01,98a0ad45-fdb9-4688-a838-e8830a564cfa,Door contact sensor,contactSensor,contact,open,TRUE,,open
2019-06-07 9:04:03,61f70bf5-9cb6-405b-bf1c-c877a156b5f2,Unknown,motionSensor,motion,active,TRUE,,active
2019-06-07 9:04:05,98a0ad45-fdb9-4688-a838-e8830a564cfa,Door contact sensor,threeAxis,threeAxis,Array,TRUE,,Array
2019-06-07 9:04:05,98a0ad45-fdb9-4688-a838-e8830a564cfa,Door contact sensor,accelerationSensor,acceleration,active,TRUE,,active
2019-06-07 9:04:05,98a0ad45-fdb9-4688-a838-e8830a564cfa,Door contact sensor,contactSensor,contact,closed,TRUE,,closed
